Field of Study,Field of Study 2,Correlation,fos_code,fos2_code,same_broad
13.03 Curriculum and instruction,13.09 Social and philosophical foundations of education,0.46315677938158645,13,13,same
13.04 Educational administration and supervision,"42.28 Clinical, counselling and applied psychology",0.7134078676187648,13,42,different
13.04 Educational administration and supervision,"13.01 Education, general",0.6990952630561104,13,13,same
13.04 Educational administration and supervision,13.10 Special education and teaching,0.6846991504532169,13,13,same
13.04 Educational administration and supervision,"13.13 Teacher education and professional development, specific subject areas",0.6835487144930077,13,13,same
13.04 Educational administration and supervision,22.02 Legal research and advanced professional studies (post-LLB/JD),0.6809006586634067,13,22,different
13.04 Educational administration and supervision,13.14 Teaching English or French as a second or foreign language,0.6786248556188946,13,13,same
13.04 Educational administration and supervision,39.04 Religious education,0.6774147541033498,13,39,different
13.04 Educational administration and supervision,"13.12 Teacher education and professional development, specific levels and methods",0.6745171176708606,13,13,same
13.04 Educational administration and supervision,13.11 Student counselling and personnel services,0.672383843344855,13,13,same
13.04 Educational administration and supervision,"38.01 Philosophy, logic and ethics",0.6722022120006871,13,38,different
13.05 Educational/instructional media design,30.25 Cognitive science,0.5382566859118779,13,30,different
13.05 Educational/instructional media design,30.22 Classical and ancient studies,0.5094137523516358,13,30,different
13.05 Educational/instructional media design,25.01 Library science and administration,0.4999010745081044,13,25,different
13.05 Educational/instructional media design,"13.02 Bilingual, multilingual and multicultural education",0.4984470377805294,13,13,same
13.05 Educational/instructional media design,05.01 Area studies,0.49814352391590666,13,05,different
13.05 Educational/instructional media design,27.03 Applied mathematics,0.492499609357792,13,27,different
13.05 Educational/instructional media design,55.14 French literatureCAN,0.4905310006830428,13,55,different
13.05 Educational/instructional media design,13.11 Student counselling and personnel services,0.48531580296113946,13,13,same
13.05 Educational/instructional media design,13.03 Curriculum and instruction,0.47873105522874543,13,13,same
13.05 Educational/instructional media design,30.05 Peace studies and conflict resolution,0.4772048825403644,13,30,different
"13.06 Educational assessment, evaluation and research",13.09 Social and philosophical foundations of education,0.5234875115383868,13,13,same
"13.06 Educational assessment, evaluation and research",13.03 Curriculum and instruction,0.519515152802938,13,13,same
"13.06 Educational assessment, evaluation and research",13.07 International and comparative education,0.49845184061101316,13,13,same
"13.06 Educational assessment, evaluation and research","13.02 Bilingual, multilingual and multicultural education",0.49632145734546257,13,13,same
"13.06 Educational assessment, evaluation and research",13.05 Educational/instructional media design,0.4584843946261753,13,13,same
"13.06 Educational assessment, evaluation and research","16.12 Classics and classical languages, literatures and linguistics",0.4383015083813534,13,16,different
"13.06 Educational assessment, evaluation and research","51.32 Health professions education, ethics, and humanities",0.4260753977246038,13,51,different
"13.06 Educational assessment, evaluation and research","16.10 Indigenous languages, literatures, and linguistics of the Americas",0.4123029844040808,13,16,different
"13.06 Educational assessment, evaluation and research","42.99 Psychology, other",0.38573543636748364,13,42,different
"13.06 Educational assessment, evaluation and research",30.44 Geography and environmental studies,0.37627256162890005,13,30,different
13.07 International and comparative education,"16.12 Classics and classical languages, literatures and linguistics",0.5503096180583268,13,16,different
13.07 International and comparative education,30.13 Medieval and renaissance studies,0.5393630531977818,13,30,different
13.07 International and comparative education,"13.02 Bilingual, multilingual and multicultural education",0.5275933165294864,13,13,same
13.07 International and comparative education,"13.06 Educational assessment, evaluation and research",0.49845184061101316,13,13,same
13.07 International and comparative education,13.09 Social and philosophical foundations of education,0.48780565217277316,13,13,same
13.07 International and comparative education,30.43 Geobiology,0.469781209218312,13,30,different
13.07 International and comparative education,13.03 Curriculum and instruction,0.3913582613421385,13,13,same
13.07 International and comparative education,44.02 Community organization and advocacy,0.38987326400301703,13,44,different
13.07 International and comparative education,"16.10 Indigenous languages, literatures, and linguistics of the Americas",0.38876356773843523,13,16,different
13.07 International and comparative education,"38.00 Philosophy and religious studies, general",0.362089961327532,13,38,different
13.09 Social and philosophical foundations of education,"13.02 Bilingual, multilingual and multicultural education",0.583884443797697,13,13,same
13.09 Social and philosophical foundations of education,"13.06 Educational assessment, evaluation and research",0.5234875115383868,13,13,same
13.09 Social and philosophical foundations of education,13.07 International and comparative education,0.48780565217277316,13,13,same
13.09 Social and philosophical foundations of education,13.03 Curriculum and instruction,0.46315677938158645,13,13,same
13.09 Social and philosophical foundations of education,"16.10 Indigenous languages, literatures, and linguistics of the Americas",0.4260760267283898,13,16,different
13.09 Social and philosophical foundations of education,"51.32 Health professions education, ethics, and humanities",0.39851040741843863,13,51,different
13.09 Social and philosophical foundations of education,13.05 Educational/instructional media design,0.36789138001139426,13,13,same
13.09 Social and philosophical foundations of education,45.05 Demography,0.3644438969196545,13,45,different
13.09 Social and philosophical foundations of education,26.14 Molecular medicine,0.3597722862817081,13,26,different
13.09 Social and philosophical foundations of education,30.05 Peace studies and conflict resolution,0.35225521389247816,13,30,different
13.10 Special education and teaching,44.07 Social work,0.7974955776550195,13,44,different
13.10 Special education and teaching,"19.07 Human development, family studies and related services",0.7919544420393347,13,19,different
13.10 Special education and teaching,"13.01 Education, general",0.7849805841276338,13,13,same
13.10 Special education and teaching,"13.12 Teacher education and professional development, specific levels and methods",0.7741835745337846,13,13,same
13.10 Special education and teaching,51.15 Mental and social health services and allied professions,0.7681832047772529,13,51,different
13.10 Special education and teaching,"44.00 Human services, general",0.7667227113134358,13,44,different
13.10 Special education and teaching,"24.01 Liberal arts and sciences, general studies and humanities",0.7573100102827391,13,24,different
13.10 Special education and teaching,"13.13 Teacher education and professional development, specific subject areas",0.7565165163019874,13,13,same
13.10 Special education and teaching,"42.28 Clinical, counselling and applied psychology",0.7561986877012326,13,42,different
13.10 Special education and teaching,"55.01 French language and literature, generalCAN",0.7560789234543246,13,55,different
13.11 Student counselling and personnel services,"42.28 Clinical, counselling and applied psychology",0.7174149674094802,13,42,different
13.11 Student counselling and personnel services,42.27 Research and experimental psychology,0.7126109091290258,13,42,different
13.11 Student counselling and personnel services,30.05 Peace studies and conflict resolution,0.6899188135217176,13,30,different
13.11 Student counselling and personnel services,30.20 International/globalization studies,0.6796386137520228,13,30,different
13.11 Student counselling and personnel services,44.07 Social work,0.6757560563776557,13,44,different
13.11 Student counselling and personnel services,13.04 Educational administration and supervision,0.672383843344855,13,13,same
13.11 Student counselling and personnel services,30.45 History and language/literature,0.6664521650528156,13,30,different
13.11 Student counselling and personnel services,"42.01 Psychology, general",0.6613931996975917,13,42,different
13.11 Student counselling and personnel services,45.11 Sociology,0.6558479950884027,13,45,different
13.11 Student counselling and personnel services,"13.01 Education, general",0.6557573367763173,13,13,same
"13.12 Teacher education and professional development, specific levels and methods","13.01 Education, general",0.8806924329874657,13,13,same
"13.12 Teacher education and professional development, specific levels and methods","13.13 Teacher education and professional development, specific subject areas",0.8570660087798191,13,13,same
"13.12 Teacher education and professional development, specific levels and methods","24.01 Liberal arts and sciences, general studies and humanities",0.8523393961438148,13,24,different
"13.12 Teacher education and professional development, specific levels and methods","42.01 Psychology, general",0.8378441165337891,13,42,different
"13.12 Teacher education and professional development, specific levels and methods","19.07 Human development, family studies and related services",0.8368794141857622,13,19,different
"13.12 Teacher education and professional development, specific levels and methods",44.07 Social work,0.8364661728155204,13,44,different
"13.12 Teacher education and professional development, specific levels and methods","23.01 English language and literature, general",0.8338852059011111,13,23,different
"13.12 Teacher education and professional development, specific levels and methods","16.01 Linguistic, comparative and related language studies and services",0.82264080275986,13,16,different
"13.12 Teacher education and professional development, specific levels and methods",23.14 English literature,0.8192871416848239,13,23,different
"13.12 Teacher education and professional development, specific levels and methods",45.01 General social sciences,0.8176918727295504,13,45,different
"13.13 Teacher education and professional development, specific subject areas","13.01 Education, general",0.9157758545791315,13,13,same
"13.13 Teacher education and professional development, specific subject areas","42.01 Psychology, general",0.8903776266380806,13,42,different
"13.13 Teacher education and professional development, specific subject areas","24.01 Liberal arts and sciences, general studies and humanities",0.8795880458681217,13,24,different
"13.13 Teacher education and professional development, specific subject areas","23.01 English language and literature, general",0.8794421654933092,13,23,different
"13.13 Teacher education and professional development, specific subject areas",45.11 Sociology,0.867442780435745,13,45,different
"13.13 Teacher education and professional development, specific subject areas","16.01 Linguistic, comparative and related language studies and services",0.8630579408758042,13,16,different
"13.13 Teacher education and professional development, specific subject areas",44.07 Social work,0.8602666725824619,13,44,different
"13.13 Teacher education and professional development, specific subject areas","13.12 Teacher education and professional development, specific levels and methods",0.8570660087798191,13,13,same
"13.13 Teacher education and professional development, specific subject areas",23.14 English literature,0.8519004012911303,13,23,different
"13.13 Teacher education and professional development, specific subject areas","38.01 Philosophy, logic and ethics",0.8464782738744377,13,38,different
13.14 Teaching English or French as a second or foreign language,30.20 International/globalization studies,0.6792198136086165,13,30,different
13.14 Teaching English or French as a second or foreign language,13.04 Educational administration and supervision,0.6786248556188946,13,13,same
13.14 Teaching English or French as a second or foreign language,55.14 French literatureCAN,0.668793470809014,13,55,different
13.14 Teaching English or French as a second or foreign language,"05.02 Ethnic, cultural minority, gender, and group studies",0.6669685508213008,13,05,different
13.14 Teaching English or French as a second or foreign language,"55.01 French language and literature, generalCAN",0.6643928869584063,13,55,different
13.14 Teaching English or French as a second or foreign language,30.45 History and language/literature,0.6631930957300494,13,30,different
13.14 Teaching English or French as a second or foreign language,05.01 Area studies,0.6558567435050046,13,05,different
13.14 Teaching English or French as a second or foreign language,"16.01 Linguistic, comparative and related language studies and services",0.6498248688578667,13,16,different
13.14 Teaching English or French as a second or foreign language,23.13 English rhetoric and composition/writing studies,0.6489171815331161,13,23,different
13.14 Teaching English or French as a second or foreign language,"13.13 Teacher education and professional development, specific subject areas",0.6488363446896444,13,13,same
13.15 Teaching assistants/aides,"19.07 Human development, family studies and related services",0.7642260252363472,13,19,different
13.15 Teaching assistants/aides,"13.12 Teacher education and professional development, specific levels and methods",0.7473138612404291,13,13,same
13.15 Teaching assistants/aides,"19.01 Family and consumer sciences/human sciences, general",0.7279659080158658,13,19,different
13.15 Teaching assistants/aides,"24.01 Liberal arts and sciences, general studies and humanities",0.7254295260294117,13,24,different
13.15 Teaching assistants/aides,44.07 Social work,0.7218487020276337,13,44,different
13.15 Teaching assistants/aides,51.06 Dental support services and allied professions,0.718639407875541,13,51,different
13.15 Teaching assistants/aides,"44.00 Human services, general",0.7185533565279277,13,44,different
13.15 Teaching assistants/aides,13.10 Special education and teaching,0.7176199919476478,13,13,same
13.15 Teaching assistants/aides,"13.01 Education, general",0.7171930668986218,13,13,same
13.15 Teaching assistants/aides,51.15 Mental and social health services and allied professions,0.715646898522293,13,51,different
"13.99 Education, other","16.07 South Asian languages, literatures and linguistics",0.5876630627887535,13,16,different
"13.99 Education, other",13.15 Teaching assistants/aides,0.5517762319567945,13,13,same
"13.99 Education, other",16.17 Second language learning,0.5491837531526002,13,16,different
"13.99 Education, other",39.04 Religious education,0.5320211486616632,13,39,different
"13.99 Education, other","16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",0.5318188265582252,13,16,different
"13.99 Education, other",50.03 Dance,0.5302972337361865,13,50,different
"13.99 Education, other",12.03 Funeral service and mortuary science,0.5136551325045511,13,12,different
"13.99 Education, other",01.05 Agricultural and domestic animal services,0.5111988758305266,13,01,different
"13.99 Education, other",30.11 Gerontology,0.5067475331006275,13,30,different
"13.99 Education, other","19.01 Family and consumer sciences/human sciences, general",0.5061207296246939,13,19,different
10.01 Communications technology/technician,14.28 Textile sciences and engineering,0.4169553567697568,10,14,different
10.01 Communications technology/technician,11.02 Computer programming,0.3945066113359499,10,11,different
10.01 Communications technology/technician,15.03 Electrical/electronic engineering technologies/technicians,0.39054516444028525,10,15,different
10.01 Communications technology/technician,11.05 Computer systems analysis/analyst,0.38605374455753605,10,11,different
10.01 Communications technology/technician,"11.99 Computer and information sciences and support services, other",0.38547998612387196,10,11,different
10.01 Communications technology/technician,11.06 Data entry/microcomputer applications,0.38430428008829726,10,11,different
10.01 Communications technology/technician,15.00 General engineering technologies/technicians,0.38310985711410683,10,15,different
10.01 Communications technology/technician,"11.01 Computer and information sciences and support services, general",0.38202495732194985,10,11,different
10.01 Communications technology/technician,"14.42 Mechatronics, robotics, and automation engineering",0.38180942052122174,10,14,different
10.01 Communications technology/technician,"52.18 General sales, merchandising and related marketing operations",0.38112237684025363,10,52,different
10.02 Audiovisual communications technologies/technicians,50.06 Film/video and photographic arts,0.7357715370373346,10,50,different
10.02 Audiovisual communications technologies/technicians,10.03 Graphic communications,0.7055658670588686,10,10,same
10.02 Audiovisual communications technologies/technicians,"09.07 Radio, television and digital communication",0.690075891628806,10,09,different
10.02 Audiovisual communications technologies/technicians,11.08 Computer software and media applications,0.6882535702749151,10,11,different
10.02 Audiovisual communications technologies/technicians,50.04 Design and applied arts,0.6770743263431966,10,50,different
10.02 Audiovisual communications technologies/technicians,50.09 Music,0.6707983384991159,10,50,different
10.02 Audiovisual communications technologies/technicians,15.03 Electrical/electronic engineering technologies/technicians,0.6669818964481039,10,15,different
10.02 Audiovisual communications technologies/technicians,"50.01 Visual, digital and performing arts, general",0.6597704697733896,10,50,different
10.02 Audiovisual communications technologies/technicians,11.02 Computer programming,0.6567879402841242,10,11,different
10.02 Audiovisual communications technologies/technicians,"09.09 Public relations, advertising and applied communication",0.649883041706294,10,09,different
10.03 Graphic communications,50.04 Design and applied arts,0.836640579284453,10,50,different
10.03 Graphic communications,11.08 Computer software and media applications,0.8039750819240419,10,11,different
10.03 Graphic communications,50.06 Film/video and photographic arts,0.7964673949935372,10,50,different
10.03 Graphic communications,50.07 Fine arts and art studies,0.7901212506684274,10,50,different
10.03 Graphic communications,"50.01 Visual, digital and performing arts, general",0.7654202936242824,10,50,different
10.03 Graphic communications,"24.01 Liberal arts and sciences, general studies and humanities",0.7625584803589067,10,24,different
10.03 Graphic communications,52.14 Marketing,0.7571637723125443,10,52,different
10.03 Graphic communications,"11.01 Computer and information sciences and support services, general",0.7502042016391324,10,11,different
10.03 Graphic communications,11.02 Computer programming,0.7457560805996537,10,11,different
10.03 Graphic communications,11.07 Computer science,0.7451008696630371,10,11,different
"10.99 Communications technologies/technicians and support services, other","16.07 South Asian languages, literatures and linguistics",0.45014358091407786,10,16,different
"10.99 Communications technologies/technicians and support services, other",12.03 Funeral service and mortuary science,0.42692559814307424,10,12,different
"10.99 Communications technologies/technicians and support services, other",48.03 Leatherworking and upholstery,0.4135616874166846,10,48,different
"10.99 Communications technologies/technicians and support services, other",14.22 Naval architecture and marine engineering,0.4042807690727684,10,14,different
"10.99 Communications technologies/technicians and support services, other",01.04 Agricultural and food products processing,0.3977768911579171,10,01,different
"10.99 Communications technologies/technicians and support services, other",12.05 Culinary arts and related services,0.3799404673895385,10,12,different
"10.99 Communications technologies/technicians and support services, other","13.99 Education, other",0.3784555227654424,10,13,different
"10.99 Communications technologies/technicians and support services, other",01.05 Agricultural and domestic animal services,0.3778390291222812,10,01,different
"10.99 Communications technologies/technicians and support services, other",10.02 Audiovisual communications technologies/technicians,0.3757729670611181,10,10,same
"10.99 Communications technologies/technicians and support services, other","09.07 Radio, television and digital communication",0.37458927640899925,10,09,different
"50.01 Visual, digital and performing arts, general",50.07 Fine arts and art studies,0.8672195902684596,50,50,same
"50.01 Visual, digital and performing arts, general",50.05 Drama/theatre arts and stagecraft,0.8475363956615078,50,50,same
"50.01 Visual, digital and performing arts, general",50.06 Film/video and photographic arts,0.8389609534371295,50,50,same
"50.01 Visual, digital and performing arts, general",50.09 Music,0.8331811806712263,50,50,same
"50.01 Visual, digital and performing arts, general",50.04 Design and applied arts,0.8092787612451581,50,50,same
"50.01 Visual, digital and performing arts, general","24.01 Liberal arts and sciences, general studies and humanities",0.8041162990371644,50,24,different
"50.01 Visual, digital and performing arts, general",09.04 Journalism,0.7974959391943738,50,09,different
"50.01 Visual, digital and performing arts, general",09.01 Communication and media studies,0.7958149765061878,50,09,different
"50.01 Visual, digital and performing arts, general","23.01 English language and literature, general",0.7836124356979655,50,23,different
"50.01 Visual, digital and performing arts, general",23.14 English literature,0.779556691560622,50,23,different
"50.02 Crafts/craft design, folk art and artisanry","16.03 East Asian languages, literatures and linguistics",0.4393169410164781,50,16,different
"50.02 Crafts/craft design, folk art and artisanry",01.05 Agricultural and domestic animal services,0.4151277211579892,50,01,different
"50.02 Crafts/craft design, folk art and artisanry",01.82 Veterinary administrative services,0.4124522639400935,50,01,different
"50.02 Crafts/craft design, folk art and artisanry","16.07 South Asian languages, literatures and linguistics",0.4071797182846509,50,16,different
"50.02 Crafts/craft design, folk art and artisanry",19.06 Housing and human environments,0.40408083496477926,50,19,different
"50.02 Crafts/craft design, folk art and artisanry",16.17 Second language learning,0.39946621587553727,50,16,different
"50.02 Crafts/craft design, folk art and artisanry",51.33 Alternative and complementary medicine and medical systems,0.39512749879471626,50,51,different
"50.02 Crafts/craft design, folk art and artisanry",04.05 Interior architecture,0.38955801337911955,50,04,different
"50.02 Crafts/craft design, folk art and artisanry",39.02 Bible/Biblical studies,0.3839704813989463,50,39,different
"50.02 Crafts/craft design, folk art and artisanry","04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",0.3793208829483606,50,04,different
50.03 Dance,50.05 Drama/theatre arts and stagecraft,0.666614045702279,50,50,same
50.03 Dance,"50.01 Visual, digital and performing arts, general",0.636903846648036,50,50,same
50.03 Dance,"05.02 Ethnic, cultural minority, gender, and group studies",0.6238373949024999,50,05,different
50.03 Dance,50.09 Music,0.6191861553374453,50,50,same
50.03 Dance,"13.13 Teacher education and professional development, specific subject areas",0.6169458319456484,50,13,different
50.03 Dance,50.07 Fine arts and art studies,0.6155121014041439,50,50,same
50.03 Dance,"55.01 French language and literature, generalCAN",0.6133801400587846,50,55,different
50.03 Dance,23.14 English literature,0.6045665342361783,50,23,different
50.03 Dance,55.14 French literatureCAN,0.6023889809548556,50,55,different
50.03 Dance,"24.01 Liberal arts and sciences, general studies and humanities",0.60206417861728,50,24,different
50.04 Design and applied arts,50.07 Fine arts and art studies,0.8913879243654436,50,50,same
50.04 Design and applied arts,"24.01 Liberal arts and sciences, general studies and humanities",0.8544048872688002,50,24,different
50.04 Design and applied arts,50.06 Film/video and photographic arts,0.8521534322839013,50,50,same
50.04 Design and applied arts,52.14 Marketing,0.8501483086309657,50,52,different
50.04 Design and applied arts,10.03 Graphic communications,0.836640579284453,50,10,different
50.04 Design and applied arts,50.05 Drama/theatre arts and stagecraft,0.8247484466459564,50,50,same
50.04 Design and applied arts,52.03 Accounting and related services,0.8239045376810284,50,52,different
50.04 Design and applied arts,"09.09 Public relations, advertising and applied communication",0.8221358421061122,50,09,different
50.04 Design and applied arts,11.08 Computer software and media applications,0.8205680074591468,50,11,different
50.04 Design and applied arts,11.07 Computer science,0.8179431523471986,50,11,different
50.05 Drama/theatre arts and stagecraft,50.07 Fine arts and art studies,0.871608508523749,50,50,same
50.05 Drama/theatre arts and stagecraft,09.01 Communication and media studies,0.8616038631623266,50,09,different
50.05 Drama/theatre arts and stagecraft,50.06 Film/video and photographic arts,0.860246801432893,50,50,same
50.05 Drama/theatre arts and stagecraft,"24.01 Liberal arts and sciences, general studies and humanities",0.8562398973401629,50,24,different
50.05 Drama/theatre arts and stagecraft,50.09 Music,0.8556014266893717,50,50,same
50.05 Drama/theatre arts and stagecraft,"50.01 Visual, digital and performing arts, general",0.8475363956615078,50,50,same
50.05 Drama/theatre arts and stagecraft,"23.01 English language and literature, general",0.8452219672474814,50,23,different
50.05 Drama/theatre arts and stagecraft,09.04 Journalism,0.8364096695266372,50,09,different
50.05 Drama/theatre arts and stagecraft,23.14 English literature,0.8323722054703255,50,23,different
50.05 Drama/theatre arts and stagecraft,"13.13 Teacher education and professional development, specific subject areas",0.8283095702348546,50,13,different
50.06 Film/video and photographic arts,50.07 Fine arts and art studies,0.8645797534642625,50,50,same
50.06 Film/video and photographic arts,50.05 Drama/theatre arts and stagecraft,0.860246801432893,50,50,same
50.06 Film/video and photographic arts,50.04 Design and applied arts,0.8521534322839013,50,50,same
50.06 Film/video and photographic arts,"24.01 Liberal arts and sciences, general studies and humanities",0.8512294675059447,50,24,different
50.06 Film/video and photographic arts,50.09 Music,0.8508001330276048,50,50,same
50.06 Film/video and photographic arts,09.01 Communication and media studies,0.8495092458343512,50,09,different
50.06 Film/video and photographic arts,"09.09 Public relations, advertising and applied communication",0.8482393089534507,50,09,different
50.06 Film/video and photographic arts,09.04 Journalism,0.8442391091850806,50,09,different
50.06 Film/video and photographic arts,"50.01 Visual, digital and performing arts, general",0.8389609534371295,50,50,same
50.06 Film/video and photographic arts,52.14 Marketing,0.8276203807759647,50,52,different
50.07 Fine arts and art studies,50.04 Design and applied arts,0.8913879243654436,50,50,same
50.07 Fine arts and art studies,"24.01 Liberal arts and sciences, general studies and humanities",0.8767433637989093,50,24,different
50.07 Fine arts and art studies,50.05 Drama/theatre arts and stagecraft,0.871608508523749,50,50,same
50.07 Fine arts and art studies,"50.01 Visual, digital and performing arts, general",0.8672195902684596,50,50,same
50.07 Fine arts and art studies,50.06 Film/video and photographic arts,0.8645797534642625,50,50,same
50.07 Fine arts and art studies,50.09 Music,0.8640301976485243,50,50,same
50.07 Fine arts and art studies,"23.01 English language and literature, general",0.862918630988121,50,23,different
50.07 Fine arts and art studies,09.01 Communication and media studies,0.8596341918847432,50,09,different
50.07 Fine arts and art studies,23.14 English literature,0.8449093277630153,50,23,different
50.07 Fine arts and art studies,"13.13 Teacher education and professional development, specific subject areas",0.8392095320788177,50,13,different
50.09 Music,"24.01 Liberal arts and sciences, general studies and humanities",0.8646927948244723,50,24,different
50.09 Music,50.07 Fine arts and art studies,0.8640301976485243,50,50,same
50.09 Music,50.05 Drama/theatre arts and stagecraft,0.8556014266893717,50,50,same
50.09 Music,50.06 Film/video and photographic arts,0.8508001330276048,50,50,same
50.09 Music,"13.13 Teacher education and professional development, specific subject areas",0.8453719296887292,50,13,different
50.09 Music,09.01 Communication and media studies,0.8429219790740325,50,09,different
50.09 Music,"23.01 English language and literature, general",0.8359374155650396,50,23,different
50.09 Music,"50.01 Visual, digital and performing arts, general",0.8331811806712263,50,50,same
50.09 Music,"13.01 Education, general",0.8305920264384482,50,13,different
50.09 Music,"38.01 Philosophy, logic and ethics",0.8297947705920292,50,38,different
"50.10 Arts, entertainment, and media management","50.01 Visual, digital and performing arts, general",0.6073633100726694,50,50,same
"50.10 Arts, entertainment, and media management",50.06 Film/video and photographic arts,0.5937723357897651,50,50,same
"50.10 Arts, entertainment, and media management",50.05 Drama/theatre arts and stagecraft,0.5936039678553162,50,50,same
"50.10 Arts, entertainment, and media management",09.04 Journalism,0.5902209169058458,50,09,different
"50.10 Arts, entertainment, and media management","09.09 Public relations, advertising and applied communication",0.5895863763374781,50,09,different
"50.10 Arts, entertainment, and media management",50.07 Fine arts and art studies,0.5887136537346634,50,50,same
"50.10 Arts, entertainment, and media management",23.13 English rhetoric and composition/writing studies,0.5875137689164238,50,23,different
"50.10 Arts, entertainment, and media management",50.09 Music,0.5795998424622859,50,50,same
"50.10 Arts, entertainment, and media management",50.03 Dance,0.5794549939136763,50,50,same
"50.10 Arts, entertainment, and media management",09.01 Communication and media studies,0.5794389099518329,50,09,different
50.11 Community/environmental/socially-engaged art,"38.99 Philosophy and religious studies, other",0.4985301291077401,50,38,different
50.11 Community/environmental/socially-engaged art,"48.00 Precision production trades, general",0.4078439243742534,50,48,different
50.11 Community/environmental/socially-engaged art,"23.99 English language and literature/letters, other",0.2821024160806685,50,23,different
50.11 Community/environmental/socially-engaged art,14.11 Engineering mechanics,0.2611663804504798,50,14,different
50.11 Community/environmental/socially-engaged art,"41.99 Science technologies/technicians, other",0.24349405253788284,50,41,different
50.11 Community/environmental/socially-engaged art,61.14 Ophthalmology residency/fellowship programs,0.24229581746718085,50,61,different
50.11 Community/environmental/socially-engaged art,"03.99 Natural resources and conservation, other",0.23499183567164392,50,03,different
50.11 Community/environmental/socially-engaged art,39.03 Missions/missionary studies and missiology,0.21865254633580505,50,39,different
50.11 Community/environmental/socially-engaged art,14.32 Polymer/plastics engineering,0.21624753872728789,50,14,different
50.11 Community/environmental/socially-engaged art,"47.99 Mechanic and repair technologies/technicians, other",0.2099349693513699,50,47,different
"50.99 Visual and performing arts, other",51.37 Energy-based and biologically-based therapies,0.4249174977053561,50,51,different
"50.99 Visual and performing arts, other",50.03 Dance,0.39155404127946675,50,50,same
"50.99 Visual and performing arts, other",13.03 Curriculum and instruction,0.3878908563973598,50,13,different
"50.99 Visual and performing arts, other",19.10 Work and family studies,0.38087763422395227,50,19,different
"50.99 Visual and performing arts, other","16.99 Indigenous and foreign languages, literatures and linguistics, other",0.37229740737039824,50,16,different
"50.99 Visual and performing arts, other",30.25 Cognitive science,0.36871819062951017,50,30,different
"50.99 Visual and performing arts, other",39.05 Religious music and worship,0.36776665862709695,50,39,different
"50.99 Visual and performing arts, other",51.01 Chiropractic (DC),0.35684573002381864,50,51,different
"50.99 Visual and performing arts, other",55.13 French rhetoric and composition/writing studiesCAN,0.34985399165103764,50,55,different
"50.99 Visual and performing arts, other","09.99 Communication, journalism and related programs, other",0.3495053758895369,50,09,different
